school_section,cca_grouping_desc,cca_generic_name,cca_customized_name,school_id
PRIMARY,PHYSICAL SPORTS,MODULAR CCA (SPORTS),SPORTS CLUB,0
PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,VISUAL ARTS CLUB,0
PRIMARY,CLUBS AND SOCIETIES,"ENGLISH LANGUAGE, DRAMA AND DEBATING",ENGLISH LANGUAGE AND DRAMA,0
PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (COMPUTING),INFOCOMM TECHNOLOGY,0
PRIMARY,CLUBS AND SOCIETIES,DESIGN AND INNOVATION,na,0
PRIMARY,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,na,0
PRIMARY,PHYSICAL SPORTS,FOOTBALL,FOOTBALL,0
PRIMARY,PHYSICAL SPORTS,TRACK AND FIELD,na,0
PRIMARY,PHYSICAL SPORTS,WUSHU,na,0
PRIMARY,PHYSICAL SPORTS,ROPE SKIPPING,na,0
PRIMARY,UNIFORMED GROUPS,SCOUTS,na,0
PRIMARY,UNIFORMED GROUPS,GIRL GUIDES (BROWNIES),BROWNIES,0
PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na,0
PRIMARY,VISUAL AND PERFORMING ARTS,GUITAR ENSEMBLE,na,0
PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE DANCE,na,0
PRIMARY,VISUAL AND PERFORMING ARTS,INDIAN DANCE,na,0
PRIMARY,VISUAL AND PERFORMING ARTS,MALAY DANCE,na,0
PRIMARY,VISUAL AND PERFORMING ARTS,PHOTOGRAPHY,PHOTOGRAPHY CLUB,0
SECONDARY,PHYSICAL SPORTS,BADMINTON,BADMINTON,1
SECONDARY,PHYSICAL SPORTS,NETBALL,NETBALL,1
SECONDARY,PHYSICAL SPORTS,RUGBY,RUGBY,1
SECONDARY,PHYSICAL SPORTS,TRACK AND FIELD,TRACK AND FIELD,1
SECONDARY,PHYSICAL SPORTS,WUSHU,WUSHU,1
SECONDARY,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,NPCC,1
SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (LAND),NCC BOYS (LAND),1
SECONDARY,UNIFORMED GROUPS,NATIONAL CIVIL DEFENCE CADET CORPS,NCDCC,1
SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,MODERN DANCE CLUB,1
SECONDARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,ENGLISH DRAMA CLUB,1
SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,CONCERT BAND,1
SECONDARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART & ENVIRONMENT CLUB,1
SECONDARY,CLUBS AND SOCIETIES,ROBOTICS,ROBOTICS CLUB,1
SECONDARY,VISUAL AND PERFORMING ARTS,DIGITAL MEDIA,LIGHTHOUSE PRODUCTIONS,1
SECONDARY,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,GUZHENG ENSEMBLE,1
PRIMARY,PHYSICAL SPORTS,BADMINTON,na,2
PRIMARY,PHYSICAL SPORTS,VOLLEYBALL,na,2
PRIMARY,PHYSICAL SPORTS,ROPE SKIPPING,ROPE SKIPPING,2
PRIMARY,UNIFORMED GROUPS,SCOUTS,CUB SCOUTS,2
PRIMARY,VISUAL AND PERFORMING ARTS,ANGKLUNG/KULINTANG ENSEMBLE,ANGKLUNG ENSEMBLE,2
PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na,2
PRIMARY,VISUAL AND PERFORMING ARTS,HARMONICA ENSEMBLE,HARMONICA ENSEMBLE,2
PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE DANCE,CHINESE DANCE,2
PRIMARY,VISUAL AND PERFORMING ARTS,INDIAN DANCE,INDIAN DANCE,2
PRIMARY,VISUAL AND PERFORMING ARTS,MALAY DANCE,MALAY DANCE,2
PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,na,2
PRIMARY,VISUAL AND PERFORMING ARTS,PHOTOGRAPHY,PHOTOGRAPHY CLUB,2
PRIMARY,CLUBS AND SOCIETIES,ROBOTICS,na,2
SECONDARY,PHYSICAL SPORTS,FOOTBALL,na,3
SECONDARY,PHYSICAL SPORTS,TRACK AND FIELD,na,3
SECONDARY,UNIFORMED GROUPS,GIRL GUIDES,na,3
SECONDARY,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na,3
SECONDARY,UNIFORMED GROUPS,ST JOHN BRIGADE,ST JOHN BRIGADE,3
SECONDARY,UNIFORMED GROUPS,SCOUTS,na,3
SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (LAND),na,3
SECONDARY,VISUAL AND PERFORMING ARTS,CHINESE ORCHESTRA,CHINESE ORCHESTRA,3
SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,na,3
SECONDARY,VISUAL AND PERFORMING ARTS,BAND - SYMPHONIC,CONCERT BAND,3
SECONDARY,VISUAL AND PERFORMING ARTS,DANCE - INTERNATIONAL,DANCE ENSEMBLE,3
SECONDARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,ORATORICAL DEBATE & DRAMA SOCIETY,3
SECONDARY,CLUBS AND SOCIETIES,GREEN CLUB,GREEN SERVICE CLUB,3
SECONDARY,PHYSICAL SPORTS,SHOOTING,SHOOTING,3
SECONDARY,PHYSICAL SPORTS,BASKETBALL,na,3
PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART CLUB,4
PRIMARY,CLUBS AND SOCIETIES,ROBOTICS,na,4
PRIMARY,PHYSICAL SPORTS,BADMINTON,na,4
PRIMARY,PHYSICAL SPORTS,TRACK AND FIELD,na,4
PRIMARY,PHYSICAL SPORTS,TABLE TENNIS,na,4
PRIMARY,PHYSICAL SPORTS,WUSHU,na,4
PRIMARY,PHYSICAL SPORTS,VOLLEYBALL,na,4
PRIMARY,PHYSICAL SPORTS,ARTISTIC GYMNASTICS,na,4
PRIMARY,UNIFORMED GROUPS,SCOUTS,na,4
PRIMARY,UNIFORMED GROUPS,GIRL GUIDES (BROWNIES),na,4
PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na,4
PRIMARY,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,na,4
PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE DANCE,DANCE,4
PRIMARY,PHYSICAL SPORTS,BASKETBALL,na,5
PRIMARY,PHYSICAL SPORTS,TRACK AND FIELD,na,5
PRIMARY,PHYSICAL SPORTS,TABLE TENNIS,na,5
PRIMARY,UNIFORMED GROUPS,SCOUTS,na,5
PRIMARY,VISUAL AND PERFORMING ARTS,HARMONICA ENSEMBLE,na,5
PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na,5
PRIMARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,na,5
PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE DRUMS,na,5
PRIMARY,CLUBS AND SOCIETIES,CHINESE CULTURE AND LANGUAGE,na,5
PRIMARY,CLUBS AND SOCIETIES,ROBOTICS,na,5
PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),na,5
PRIMARY,PHYSICAL SPORTS,BADMINTON,na,5
PRIMARY,PHYSICAL SPORTS,RUGBY,na,5
PRIMARY,PHYSICAL SPORTS,SOFTBALL,na,5
PRIMARY,PHYSICAL SPORTS,TCHOUKBALL,na,5
PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na,5
PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,na,5
PRIMARY,CLUBS AND SOCIETIES,INTERNATIONAL CHESS,na,5
