subject_id,school_id
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
0,1
9,1
10,1
14,1
15,1
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
16,2
17,2
18,2
0,4
1,4
2,4
3,4
4,4
8,4
9,4
10,4
11,4
12,4
16,4
0,5
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
16,5
17,5
18,5
0,6
1,6
2,6
3,6
4,6
5,6
6,6
7,6
8,6
9,6
10,6
11,6
12,6
13,6
16,6
17,6
0,7
1,7
2,7
4,7
5,7
6,7
7,7
8,7
9,7
10,7
11,7
12,7
13,7
0,10
1,10
2,10
3,10
4,10
5,10
6,10
7,10
8,10
9,10
10,10
11,10
12,10
13,10
16,10
17,10
18,10
0,11
10,11
14,11
15,11
0,14
9,14
10,14
14,14
15,14
19,14
51,14
52,14
0,16
1,16
2,16
4,16
7,16
8,16
9,16
10,16
11,16
12,16
13,16
0,17
1,17
2,17
3,17
4,17
6,17
7,17
8,17
9,17
10,17
11,17
12,17
13,17
16,17
18,17
0,18
1,18
2,18
3,18
4,18
5,18
6,18
7,18
8,18
9,18
10,18
11,18
12,18
13,18
16,18
17,18
0,19
9,19
10,19
14,19
15,19
19,19
51,19
0,21
9,21
10,21
14,21
15,21
19,21
51,21
52,21
0,22
1,22
2,22
3,22
4,22
5,22
6,22
7,22
8,22
9,22
10,22
11,22
12,22
13,22
16,22
17,22
18,22
0,23
9,23
10,23
14,23
15,23
19,23
0,24
1,24
2,24
3,24
4,24
5,24
7,24
8,24
9,24
10,24
11,24
12,24
13,24
16,24
17,24
18,24
0,25
9,25
10,25
14,25
15,25
0,27
9,27
10,27
14,27
15,27
19,27
0,28
1,28
2,28
4,28
5,28
6,28
7,28
8,28
9,28
10,28
11,28
12,28
13,28
16,28
0,29
9,29
10,29
14,29
15,29
0,30
1,30
2,30
3,30
4,30
5,30
6,30
7,30
8,30
9,30
10,30
11,30
12,30
13,30
16,30
17,30
18,30
0,31
1,31
2,31
3,31
4,31
5,31
6,31
7,31
8,31
9,31
10,31
11,31
12,31
13,31
16,31
17,31
18,31
0,33
9,33
10,33
14,33
15,33
0,34
9,34
10,34
14,34
15,34
0,35
9,35
10,35
15,35
0,37
9,37
10,37
14,37
15,37
0,38
1,38
2,38
3,38
4,38
5,38
6,38
7,38
8,38
9,38
10,38
11,38
12,38
13,38
16,38
17,38
18,38
0,39
1,39
2,39
3,39
4,39
5,39
6,39
7,39
8,39
9,39
10,39
11,39
12,39
13,39
16,39
17,39
0,40
1,40
2,40
3,40
4,40
5,40
6,40
7,40
8,40
9,40
10,40
11,40
12,40
13,40
16,40
17,40
18,40
0,42
1,42
2,42
3,42
4,42
5,42
6,42
7,42
8,42
9,42
10,42
11,42
12,42
13,42
16,42
18,42
0,44
1,44
2,44
3,44
4,44
6,44
7,44
8,44
9,44
10,44
11,44
12,44
13,44
16,44
17,44
0,45
1,45
2,45
3,45
4,45
5,45
6,45
7,45
8,45
9,45
10,45
11,45
12,45
13,45
16,45
17,45
18,45
0,46
1,46
2,46
3,46
4,46
7,46
8,46
9,46
10,46
11,46
12,46
13,46
16,46
17,46
0,47
1,47
2,47
4,47
8,47
9,47
10,47
11,47
12,47
0,50
1,50
2,50
3,50
4,50
5,50
6,50
7,50
8,50
9,50
10,50
11,50
12,50
13,50
16,50
17,50
18,50
0,52
1,52
2,52
3,52
4,52
5,52
6,52
7,52
8,52
9,52
10,52
11,52
12,52
13,52
16,52
17,52
18,52
0,53
1,53
2,53
3,53
4,53
5,53
6,53
7,53
8,53
9,53
10,53
11,53
12,53
13,53
16,53
53,53
0,57
1,57
2,57
3,57
4,57
6,57
7,57
8,57
9,57
10,57
11,57
12,57
13,57
16,57
17,57
18,57
0,58
1,58
2,58
4,58
5,58
6,58
7,58
8,58
9,58
10,58
11,58
12,58
13,58
0,59
1,59
2,59
3,59
4,59
5,59
6,59
7,59
8,59
9,59
10,59
11,59
12,59
13,59
16,59
17,59
18,59
0,60
10,60
15,60
19,60
0,61
10,61
15,61
0,62
1,62
2,62
4,62
8,62
9,62
10,62
