subject_id,school_id
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
0,1
9,1
10,1
14,1
15,1
0,11
10,11
14,11
15,11
0,21
9,21
10,21
14,21
15,21
19,21
51,21
52,21
0,23
9,23
10,23
14,23
15,23
19,23
0,25
9,25
10,25
14,25
15,25
0,29
9,29
10,29
14,29
15,29
0,30
1,30
2,30
3,30
4,30
5,30
6,30
7,30
8,30
9,30
10,30
11,30
12,30
13,30
16,30
17,30
18,30
0,34
9,34
10,34
14,34
15,34
0,35
9,35
10,35
15,35
0,52
1,52
2,52
3,52
4,52
5,52
6,52
7,52
8,52
9,52
10,52
11,52
12,52
13,52
16,52
17,52
18,52
0,72
9,72
10,72
14,72
15,72
19,72
0,89
10,89
14,89
15,89
19,89
51,89
52,89
0,108
9,108
10,108
14,108
15,108
19,108
0,112
9,112
10,112
14,112
15,112
0,114
14,114
15,114
0,117
9,117
10,117
14,117
15,117
0,123
9,123
10,123
14,123
15,123
0,126
10,126
14,126
0,133
14,133
0,146
9,146
10,146
14,146
15,146
0,159
10,159
14,159
15,159
51,159
0,161
9,161
10,161
14,161
15,161
0,164
9,164
10,164
14,164
15,164
19,164
51,164
52,164
0,175
14,175
0,176
10,176
14,176
15,176
0,194
14,194
19,194
0,214
9,214
10,214
14,214
15,214
0,219
9,219
10,219
14,219
15,219
0,227
9,227
10,227
14,227
15,227
19,227
0,267
9,267
14,267
15,267
19,267
0,270
1,270
2,270
3,270
4,270
5,270
6,270
7,270
8,270
9,270
10,270
11,270
12,270
13,270
16,270
17,270
18,270
0,282
9,282
10,282
14,282
15,282
19,282
0,286
9,286
10,286
14,286
15,286
0,301
9,301
14,301
15,301
0,319
9,319
14,319
15,319
0,329
9,329
10,329
14,329
15,329
0,339
9,339
10,339
14,339
15,339
0,343
9,343
14,343
15,343
0,344
1,344
2,344
3,344
4,344
5,344
6,344
7,344
8,344
9,344
10,344
11,344
12,344
13,344
16,344
17,344
18,344
9,36
19,36
9,41
19,41
51,41
52,41
9,51
10,51
9,66
9,68
10,68
9,70
10,70
9,81
10,81
19,81
9,85
9,100
19,100
51,100
52,100
9,110
9,122
10,122
9,150
10,150
19,150
9,196
10,196
9,216
10,216
9,222
10,222
9,233
10,233
9,239
9,252
10,252
19,252
9,255
10,255
9,264
10,264
19,264
51,264
9,272
10,272
9,279
10,279
14,279
15,279
19,279
51,279
52,279
9,294
10,294
19,294
9,316
10,316
19,316
9,320
10,320
19,320
52,320
9,335
10,335
19,335
9,337
10,337
10,32
19,32
10,193
19,75
51,75
